,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6 Which region or nation do you live in?,Unweighted base,3983,1728,2229,740,1013,963,692,446,129,275,147,744,676,64,683,298,559,259,196,82,253,256,1104,157,521,63,355,120,70,686,48,350,117,326,415,820,98,434,196,1577,967,578,36,993,1182,118,109,87,1413,339,11,1201,723,147,62,2590,1321,72,1059,2471,763,1362,416,830,1390,321,1352,1448,256,410,918,395,661,1387,1935,2430,1091,462,885,1766,1332,1419,1848,716,1490,1879,614,1027,1923,1033,1052,1745,1186
,Weighted base,3910,1848,2028,623,894,915,893,449,137,242,191,690,620,130,572,261,467,308,342,88,269,239,1065,131,506,69,344,108,65,701,60,353,152,382,460,853,109,386,225,1344,991,816,45,1199,672,116,71,67,1179,386,18,1415,574,169,103,2743,1085,82,1188,2251,732,1349,370,855,1394,264,1311,1476,194,357,902,395,659,1404,1848,2422,1088,399,891,1750,1269,1396,1846,668,1473,1872,565,994,1923,994,1067,1732,1111
,East Midlands,7%,7%,6%,7%,5%,6%,9%,7%,7%,6%,6%,12%,4%,7%,6%,6%,6%,8%,6%,9%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,10%,9%,7%,9%,6%,8%,5%,7%,7%,3%,8%,5%,6%,9%,1%,5%,13%,0%,6%,7%,13%,15%,7%,6%,14%,7%,7%,8%,6%,6%,7%,6%,5%,7%,6%,5%,6%,6%,9%,7%,7%,7%,7%,8%,6%,7%,7%,6%,6%,7%,7%,7%,7%,5%,7%,6%,9%,6%,7%,7%
,East of England,6%,5%,7%,4%,6%,6%,7%,7%,3%,10%,9%,6%,4%,1%,4%,5%,8%,6%,9%,11%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,6%,4%,6%,5%,7%,5%,7%,6%,4%,9%,8%,7%,6%,3%,10%,7%,9%,24%,4%,7%,3%,9%,6%,6%,4%,7%,5%,6%,7%,9%,4%,8%,5%,7%,6%,9%,5%,7%,4%,5%,7%,6%,7%,5%,6%,6%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
,Greater London,27%,30%,25%,29%,23%,27%,27%,30%,48%,35%,25%,24%,14%,45%,31%,41%,24%,26%,32%,35%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,25%,28%,30%,32%,28%,25%,26%,24%,35%,29%,24%,29%,29%,27%,28%,31%,31%,55%,24%,27%,17%,29%,26%,30%,20%,25%,28%,30%,27%,28%,28%,27%,28%,25%,27%,28%,35%,31%,26%,29%,26%,27%,26%,29%,28%,28%,27%,27%,26%,27%,30%,27%,27%,29%,28%,26%,28%,27%,27%,27%
,North East England,3%,3%,3%,2%,4%,4%,3%,4%,2%,1%,4%,2%,2%,3%,8%,1%,1%,5%,6%,2%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,3%,2%,2%,4%,4%,5%,3%,1%,0%,3%,6%,2%,7%,12%,6%,2%,0%,2%,3%,1%,5%,3%,5%,4%,4%,3%,3%,4%,6%,4%,3%,6%,4%,3%,3%,5%,2%,4%,5%,3%,3%,3%,2%,6%,6%,3%,3%,4%,3%,4%,4%,3%,4%,5%,3%,2%,4%,3%,3%
,North West England,13%,12%,14%,14%,13%,15%,13%,9%,6%,12%,14%,12%,18%,11%,12%,10%,14%,14%,8%,16%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,21%,13%,14%,12%,16%,13%,11%,12%,14%,13%,9%,12%,14%,11%,12%,16%,11%,7%,8%,17%,13%,7%,7%,13%,13%,20%,12%,13%,11%,14%,11%,14%,12%,12%,14%,13%,11%,12%,13%,10%,11%,13%,13%,14%,12%,10%,11%,13%,14%,13%,14%,10%,13%,13%,13%,12%,14%,12%,13%,13%,12%
,Scotland,2%,2%,2%,2%,2%,3%,0%,2%,1%,0%,4%,1%,2%,7%,2%,1%,2%,2%,1%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,5%,0%,1%,1%,5%,2%,3%,2%,3%,2%,0%,1%,1%,1%,4%,0%,2%,3%,0%,2%,2%,0%,0%,2%,2%,5%,2%,2%,2%,1%,2%,2%,1%,3%,2%,2%,3%,1%,1%,4%,2%,1%,2%,2%,2%,2%,2%,1%,2%,2%,1%,3%,2%,2%,2%,2%,1%,2%,1%,2%,2%
,South East England,9%,8%,9%,8%,7%,9%,10%,13%,7%,8%,16%,11%,4%,5%,8%,5%,11%,9%,14%,1%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,9%,6%,10%,10%,6%,8%,9%,9%,10%,9%,9%,9%,7%,2%,7%,13%,9%,15%,13%,6%,11%,8%,11%,9%,8%,4%,11%,7%,7%,10%,8%,9%,10%,10%,8%,9%,5%,9%,9%,8%,9%,10%,8%,9%,9%,8%,8%,9%,8%,9%,9%,9%,9%,9%,8%,8%,9%,9%,7%,10%,8%
,South West England,3%,3%,3%,2%,3%,3%,3%,3%,5%,1%,1%,2%,2%,0%,2%,4%,5%,5%,4%,3%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,1%,3%,3%,3%,3%,3%,2%,3%,4%,2%,11%,3%,2%,0%,4%,5%,3%,3%,0%,2%,4%,3%,2%,3%,3%,1%,4%,2%,3%,2%,3%,3%,3%,3%,3%,2%,2%,3%,3%,2%,3%,4%,2%,3%,3%,3%,3%,3%,2%,3%,3%,3%,3%,3%,2%,3%,3%,2%,3%,3%,2%
,Wales,2%,2%,2%,1%,1%,1%,2%,2%,2%,1%,4%,1%,1%,0%,2%,1%,4%,3%,1%,8%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,1%,3%,1%,2%,0%,1%,3%,1%,2%,2%,0%,1%,2%,3%,2%,0%,2%,1%,0%,1%,4%,0%,1%,2%,2%,0%,1%,2%,2%,2%,2%,2%,2%,1%,2%,2%,0%,1%,2%,1%,3%,2%,1%,2%,1%,2%,2%,2%,1%,2%,2%,2%,2%,1%,2%,2%,1%,2%,2%,2%,1%
,West Midlands,18%,18%,18%,21%,22%,16%,17%,15%,8%,23%,11%,21%,26%,13%,16%,17%,17%,13%,9%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,17%,20%,19%,17%,10%,14%,18%,19%,17%,17%,7%,20%,17%,30%,11%,8%,15%,10%,0%,23%,13%,43%,9%,19%,15%,14%,16%,20%,19%,16%,16%,18%,17%,17%,20%,19%,20%,15%,19%,17%,16%,17%,19%,18%,18%,17%,17%,17%,20%,17%,19%,17%,17%,18%,19%,16%,19%,18%,17%,17%,20%
,Yorkshire and The Humber,2%,2%,1%,0%,1%,2%,2%,3%,3%,0%,0%,1%,2%,0%,0%,3%,3%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,3%,4%,3%,1%,4%,1%,2%,0%,1%,3%,0%,1%,2%,0%,10%,0%,1%,0%,0%,1%,3%,1%,8%,2%,1%,7%,1%,2%,1%,1%,1%,1%,2%,1%,1%,1%,0%,1%,1%,5%,2%,1%,2%,2%,1%,2%,2%,2%,1%,2%,1%,2%,2%,1%,2%,2%,2%,2%,1%,1%,2%
,Yorkshire and the Humber,9%,8%,10%,11%,12%,9%,7%,5%,8%,4%,7%,6%,21%,9%,9%,6%,6%,5%,9%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,6%,7%,7%,8%,8%,12%,9%,11%,10%,7%,23%,10%,9%,10%,4%,7%,8%,6%,0%,13%,6%,3%,3%,9%,8%,7%,10%,9%,8%,10%,8%,10%,9%,8%,9%,10%,12%,8%,6%,9%,8%,8%,10%,9%,9%,10%,9%,9%,9%,9%,10%,9%,9%,9%,8%,10%,9%,8%,10%,9%,8%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q1 More specifically, what is your ethnic group?",Unweighted base,562,217,341,69,159,152,103,55,24,0,0,0,0,0,0,0,562,0,0,0,34,43,132,7,86,9,67,29,20,85,14,32,18,59,75,159,11,58,36,146,129,123,8,138,142,15,7,2,219,0,1,42,293,0,5,314,239,9,72,434,91,175,42,125,228,20,161,230,14,42,144,76,54,207,301,343,174,45,73,280,209,189,282,91,154,325,83,85,287,190,88,248,226
,Weighted base,471,193,274,40,115,124,118,56,18,0,0,0,0,0,0,0,471,0,0,0,26,36,112,5,64,9,52,23,16,80,16,27,22,61,69,133,10,44,33,98,105,146,7,129,69,10,4,0,190,0,1,43,228,0,8,275,190,6,63,361,85,147,32,108,198,15,123,196,9,35,119,61,50,173,247,294,142,34,69,234,167,163,232,75,132,268,71,78,230,162,82,207,182
,Other mixed or multiple ethnic groups,34%,35%,33%,38%,28%,27%,42%,38%,34%,-,-,-,-,-,-,-,34%,-,-,-,25%,51%,37%,82%,29%,42%,39%,33%,25%,21%,47%,31%,46%,20%,36%,33%,50%,35%,44%,32%,39%,34%,39%,28%,33%,17%,77%,73%,29%,-,100%,43%,34%,-,67%,38%,27%,58%,55%,30%,36%,33%,30%,34%,33%,39%,33%,33%,27%,25%,33%,34%,21%,37%,34%,31%,39%,33%,31%,36%,30%,31%,33%,40%,37%,34%,27%,27%,37%,31%,33%,38%,29%
,White and Asian,25%,29%,22%,21%,21%,30%,26%,22%,27%,-,-,-,-,-,-,-,25%,-,-,-,23%,19%,22%,6%,28%,22%,28%,43%,16%,24%,17%,27%,10%,15%,20%,29%,8%,31%,16%,33%,18%,19%,25%,31%,35%,43%,6%,0%,24%,-,0%,30%,25%,-,0%,29%,19%,0%,32%,24%,20%,29%,15%,22%,24%,21%,33%,27%,32%,27%,30%,18%,34%,25%,23%,25%,23%,34%,22%,24%,28%,26%,23%,29%,23%,26%,24%,28%,22%,27%,23%,25%,26%
,White and Black African,10%,8%,10%,17%,11%,8%,6%,8%,21%,-,-,-,-,-,-,-,10%,-,-,-,16%,8%,13%,0%,19%,7%,9%,8%,3%,3%,0%,7%,0%,9%,12%,7%,11%,9%,14%,12%,11%,9%,21%,9%,10%,0%,18%,0%,11%,-,0%,10%,9%,-,0%,11%,9%,0%,9%,8%,9%,10%,22%,13%,10%,3%,9%,9%,5%,6%,13%,9%,6%,10%,10%,9%,11%,12%,7%,8%,13%,9%,10%,11%,7%,10%,14%,10%,7%,13%,6%,9%,12%
,White and Black Caribbean,32%,28%,35%,24%,40%,35%,25%,32%,19%,-,-,-,-,-,-,-,32%,-,-,-,36%,22%,29%,12%,25%,29%,24%,16%,56%,52%,36%,35%,43%,55%,32%,31%,31%,25%,25%,22%,32%,38%,15%,31%,22%,41%,0%,27%,36%,-,0%,17%,32%,-,33%,22%,45%,42%,3%,37%,36%,27%,33%,32%,33%,37%,25%,31%,36%,42%,24%,39%,40%,28%,33%,36%,27%,20%,40%,31%,29%,34%,34%,20%,33%,30%,36%,35%,33%,29%,38%,28%,33%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,-,-,-,-,-,-,-,100%,-,-,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,-,100%,100%,100%,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,No formal qualifications,4%,5%,3%,1%,3%,5%,4%,4%,9%,3%,1%,3%,4%,7%,1%,5%,5%,14%,3%,0%,6%,3%,3%,1%,6%,11%,4%,2%,2%,4%,9%,3%,100%,0%,0%,0%,0%,0%,0%,0%,3%,6%,7%,3%,4%,3%,14%,2%,3%,2%,13%,4%,5%,2%,21%,3%,5%,11%,5%,4%,5%,3%,3%,4%,2%,4%,3%,3%,3%,3%,2%,7%,7%,3%,3%,3%,5%,5%,6%,3%,4%,4%,3%,5%,4%,4%,4%,5%,3%,5%,5%,3%,4%
,1-4 GCSEs or equivalent,10%,10%,10%,8%,6%,8%,13%,14%,14%,9%,5%,10%,11%,6%,4%,18%,13%,9%,8%,21%,14%,10%,9%,7%,10%,2%,7%,11%,15%,11%,28%,8%,0%,100%,0%,0%,0%,0%,0%,0%,7%,16%,8%,8%,10%,8%,8%,10%,9%,6%,0%,9%,14%,16%,10%,10%,9%,7%,7%,11%,15%,8%,7%,10%,10%,11%,8%,8%,9%,10%,11%,11%,12%,10%,9%,9%,11%,10%,11%,10%,9%,10%,10%,11%,11%,9%,11%,9%,10%,10%,10%,10%,9%
,5 or more GCSEs or equivalent,12%,11%,12%,12%,10%,10%,11%,20%,10%,10%,13%,11%,15%,10%,9%,20%,15%,12%,5%,6%,15%,8%,12%,9%,12%,7%,13%,13%,6%,12%,19%,9%,0%,0%,100%,0%,0%,0%,0%,0%,11%,16%,7%,10%,10%,14%,13%,15%,11%,7%,4%,13%,12%,9%,20%,12%,11%,17%,9%,14%,12%,11%,11%,11%,11%,11%,11%,12%,9%,10%,11%,13%,11%,11%,12%,12%,12%,11%,11%,12%,12%,12%,12%,11%,10%,13%,11%,11%,12%,12%,12%,11%,12%
,2 or more A-levels or equivalent,22%,22%,22%,46%,16%,16%,17%,19%,24%,35%,22%,21%,22%,24%,14%,22%,28%,13%,23%,27%,21%,21%,24%,13%,20%,16%,25%,24%,31%,21%,15%,19%,0%,0%,0%,100%,0%,0%,0%,0%,19%,24%,27%,24%,17%,32%,18%,19%,18%,24%,0%,24%,26%,25%,12%,24%,16%,11%,19%,23%,21%,21%,18%,23%,21%,12%,21%,22%,22%,18%,27%,24%,16%,20%,25%,23%,22%,16%,16%,23%,25%,21%,24%,19%,18%,25%,23%,16%,24%,23%,19%,22%,24%
,Apprenticeship,3%,3%,2%,2%,3%,4%,1%,4%,5%,4%,4%,2%,3%,4%,1%,3%,2%,6%,2%,3%,4%,2%,3%,1%,3%,7%,2%,3%,1%,2%,7%,2%,0%,0%,0%,0%,100%,0%,0%,0%,2%,4%,0%,2%,3%,5%,2%,2%,2%,2%,0%,3%,3%,3%,9%,2%,4%,16%,2%,3%,3%,2%,3%,2%,3%,2%,3%,2%,2%,1%,3%,3%,2%,3%,2%,2%,4%,3%,3%,3%,2%,2%,3%,4%,2%,3%,4%,2%,3%,3%,3%,2%,4%
,Professional qualifications,10%,10%,10%,7%,9%,10%,11%,14%,8%,10%,10%,11%,7%,17%,11%,13%,9%,10%,7%,10%,9%,11%,10%,12%,10%,13%,9%,9%,9%,8%,8%,13%,0%,0%,0%,0%,0%,100%,0%,0%,9%,9%,13%,10%,12%,5%,9%,15%,10%,12%,29%,9%,12%,7%,4%,9%,12%,4%,9%,11%,9%,10%,13%,10%,10%,10%,9%,8%,12%,13%,9%,9%,15%,9%,9%,10%,9%,13%,12%,9%,10%,10%,10%,10%,11%,9%,9%,11%,9%,9%,11%,10%,9%
,Other qualifications including foreign qualifications,6%,6%,6%,2%,6%,5%,9%,3%,11%,4%,4%,5%,4%,3%,7%,2%,7%,11%,8%,6%,7%,5%,5%,7%,5%,11%,6%,5%,9%,6%,8%,6%,0%,0%,0%,0%,0%,0%,100%,0%,8%,3%,10%,5%,5%,11%,28%,2%,7%,4%,7%,5%,5%,4%,8%,6%,4%,14%,8%,4%,4%,6%,4%,6%,5%,5%,7%,6%,3%,5%,3%,9%,7%,6%,5%,6%,6%,5%,7%,6%,5%,7%,5%,6%,6%,5%,6%,7%,6%,5%,6%,6%,5%
,"Bachelor's degree, or higher degrees, and equivalent",34%,33%,36%,21%,46%,42%,33%,21%,19%,24%,42%,38%,34%,30%,52%,18%,21%,25%,44%,28%,24%,41%,33%,50%,33%,34%,34%,33%,27%,37%,6%,41%,0%,0%,0%,0%,0%,0%,0%,100%,40%,21%,29%,39%,39%,22%,9%,35%,41%,44%,48%,32%,23%,34%,17%,33%,38%,19%,40%,31%,31%,38%,41%,33%,38%,44%,38%,37%,41%,39%,35%,23%,30%,37%,34%,35%,32%,37%,33%,36%,33%,35%,34%,34%,38%,32%,32%,38%,34%,32%,34%,36%,32%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Rents from a private landlord,25%,23%,27%,25%,35%,29%,20%,14%,12%,14%,22%,23%,19%,40%,43%,17%,23%,22%,27%,23%,27%,24%,22%,25%,27%,40%,30%,33%,31%,24%,12%,29%,18%,19%,25%,23%,22%,24%,33%,29%,100%,0%,0%,0%,0%,0%,0%,20%,29%,30%,0%,26%,19%,13%,18%,29%,17%,18%,45%,14%,23%,26%,25%,27%,29%,30%,29%,25%,26%,18%,22%,24%,25%,26%,25%,26%,25%,22%,27%,25%,24%,27%,24%,24%,27%,24%,23%,29%,25%,23%,26%,28%,21%
,Rents from the council or a housing association,21%,19%,22%,25%,20%,15%,23%,25%,16%,33%,12%,10%,18%,21%,21%,40%,31%,20%,13%,36%,20%,14%,27%,9%,21%,23%,21%,14%,19%,20%,34%,15%,33%,34%,29%,23%,30%,20%,12%,13%,0%,100%,0%,0%,0%,0%,0%,24%,22%,10%,13%,23%,25%,4%,26%,21%,21%,27%,17%,23%,25%,18%,17%,22%,18%,21%,20%,20%,15%,27%,19%,25%,18%,20%,22%,21%,20%,26%,20%,19%,24%,22%,20%,22%,19%,21%,25%,18%,20%,25%,20%,20%,23%
,Part-owns or part-rents (shared ownership),1%,1%,2%,1%,1%,1%,1%,1%,5%,1%,1%,0%,0%,1%,1%,2%,2%,3%,2%,0%,0%,2%,1%,0%,1%,0%,1%,5%,0%,0%,0%,3%,2%,1%,1%,1%,0%,2%,2%,1%,0%,0%,100%,0%,0%,0%,0%,0%,2%,0%,11%,1%,0%,1%,0%,1%,2%,4%,2%,1%,1%,1%,2%,1%,1%,3%,1%,1%,1%,1%,2%,1%,2%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,2%,2%,1%,1%,1%,1%,1%,2%,1%,1%
,Owns with a mortgage or loan,31%,31%,31%,29%,26%,32%,37%,33%,16%,30%,43%,40%,41%,22%,21%,28%,27%,20%,27%,11%,34%,38%,27%,31%,30%,25%,32%,33%,24%,34%,22%,33%,21%,24%,25%,34%,24%,31%,24%,35%,0%,0%,0%,100%,0%,0%,0%,39%,24%,38%,48%,32%,28%,54%,22%,32%,28%,19%,24%,34%,28%,34%,27%,32%,33%,17%,30%,34%,17%,25%,36%,23%,27%,30%,32%,33%,30%,19%,27%,33%,30%,29%,33%,27%,29%,34%,26%,27%,33%,30%,27%,32%,32%
,Owns outright,17%,21%,14%,11%,13%,19%,16%,24%,44%,13%,20%,22%,15%,12%,11%,11%,15%,20%,28%,27%,13%,19%,18%,30%,18%,7%,14%,13%,18%,17%,19%,16%,18%,18%,15%,13%,18%,21%,14%,20%,0%,0%,0%,0%,100%,0%,0%,15%,21%,17%,10%,12%,23%,22%,11%,13%,28%,8%,10%,23%,20%,17%,27%,14%,15%,25%,17%,16%,38%,27%,18%,14%,21%,18%,16%,15%,19%,28%,19%,17%,16%,16%,17%,21%,18%,15%,21%,19%,17%,17%,19%,16%,18%
,Lives here rent-free,3%,3%,3%,6%,4%,2%,2%,1%,4%,8%,1%,4%,4%,1%,2%,2%,2%,3%,2%,3%,3%,3%,3%,1%,2%,1%,1%,0%,6%,5%,0%,3%,2%,2%,3%,4%,6%,1%,6%,2%,0%,0%,0%,0%,0%,100%,0%,0%,2%,5%,0%,4%,3%,4%,0%,3%,3%,2%,1%,4%,3%,2%,2%,2%,3%,3%,3%,3%,2%,2%,4%,4%,4%,3%,3%,3%,4%,1%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,2%,4%,2%,4%
,Other,2%,2%,2%,3%,1%,2%,2%,2%,3%,1%,0%,1%,1%,2%,0%,0%,1%,12%,1%,0%,2%,1%,2%,4%,2%,4%,2%,3%,2%,1%,12%,1%,7%,2%,2%,1%,1%,2%,9%,0%,0%,0%,0%,0%,0%,0%,100%,1%,1%,1%,18%,2%,1%,2%,23%,1%,1%,22%,1%,2%,1%,1%,1%,1%,1%,0%,1%,1%,1%,0%,1%,9%,3%,2%,2%,2%,1%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5 Which of the following best describes the living situation of your current household?,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Single person,16%,18%,15%,19%,15%,10%,16%,26%,28%,11%,20%,14%,11%,33%,13%,26%,21%,22%,14%,23%,22%,14%,20%,11%,16%,37%,13%,23%,7%,14%,21%,11%,23%,25%,20%,16%,23%,15%,18%,12%,21%,24%,23%,10%,11%,16%,23%,5%,17%,13%,23%,15%,22%,13%,26%,16%,15%,36%,15%,17%,19%,15%,15%,17%,14%,13%,15%,15%,15%,15%,17%,24%,14%,17%,17%,16%,19%,15%,16%,18%,15%,16%,17%,17%,14%,19%,14%,15%,16%,19%,14%,17%,18%
